docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
121	243.0	6.0	3.0	41,500000	3,725693	nn	11,177080
121	243.0	4.0	2.0	61,750000	4,123094	active	8,246188
121	243.0	5.0	2.0	49,600000	3,903991	cm	7,807982
121	243.0	6.0	2.0	41,500000	3,725693	restart	7,451387
121	243.0	9.0	2.0	28,000000	3,332205	namenode	6,664409
121	243.0	54.0	3.0	5,500000	1,704748	and	5,114244
121	243.0	133.0	4.0	2,827068	1,039240	the	4,156960
121	243.0	4.0	1.0	61,750000	4,123094	restarting	4,123094
121	243.0	4.0	1.0	61,750000	4,123094	old	4,123094
121	243.0	4.0	1.0	61,750000	4,123094	services	4,123094
121	243.0	4.0	1.0	61,750000	4,123094	rolling	4,123094
121	243.0	4.0	1.0	61,750000	4,123094	failover	4,123094
121	243.0	4.0	1.0	61,750000	4,123094	standby	4,123094
121	243.0	4.0	1.0	61,750000	4,123094	interruption	4,123094
121	243.0	4.0	1.0	61,750000	4,123094	configs	4,123094
121	243.0	5.0	1.0	49,600000	3,903991	means	3,903991
121	243.0	99.0	3.0	3,454545	1,239691	is	3,719073
121	243.0	7.0	1.0	35,714286	3,575551	stop	3,575551
121	243.0	7.0	1.0	35,714286	3,575551	ha	3,575551
121	243.0	7.0	1.0	35,714286	3,575551	doing	3,575551
121	243.0	8.0	1.0	31,375000	3,446011	back	3,446011
121	243.0	8.0	1.0	31,375000	3,446011	property	3,446011
121	243.0	9.0	1.0	28,000000	3,332205	after	3,332205
121	243.0	10.0	1.0	25,300000	3,230804	both	3,230804
121	243.0	10.0	1.0	25,300000	3,230804	now	3,230804
121	243.0	12.0	1.0	21,250000	3,056357	change	3,056357
121	243.0	13.0	1.0	19,692308	2,980228	which	2,980228
121	243.0	73.0	2.0	4,328767	1,465283	i	2,930566
121	243.0	18.0	1.0	14,500000	2,674149	other	2,674149
121	243.0	21.0	1.0	12,571429	2,531427	than	2,531427
121	243.0	25.0	1.0	10,720000	2,372111	hdfs	2,372111
121	243.0	119.0	2.0	3,042017	1,112521	a	2,225041
121	243.0	33.0	1.0	8,363636	2,123893	one	2,123893
121	243.0	33.0	1.0	8,363636	2,123893	have	2,123893
121	243.0	40.0	1.0	7,075000	1,956567	if	1,956567
121	243.0	46.0	1.0	6,282609	1,837785	or	1,837785
121	243.0	47.0	1.0	6,170213	1,819733	it	1,819733
121	243.0	56.0	1.0	5,339286	1,675092	for	1,675092
121	243.0	70.0	1.0	4,471429	1,497708	of	1,497708
121	243.0	86.0	1.0	3,825581	1,341710	in	1,341710
121	243.0	101.0	1.0	3,405941	1,225521	to	1,225521
